gapminder_country,land_area
China,9424702.9
Japan,364500
United Kingdom,241930
Switzerland,39516.03
Venezuela,882050
Brazil,8358140
Peru,1280000
United States,9147420
Spain,499603.479
Sweden,407310
Australia,7692020
Germany,349380
Burkina Faso,273600
Colombia,1109500
Indonesia,1877519
Kenya,569140
Ireland,68890
Senegal,192530
Iceland,100830
Panama,74177
Russia,16376870
France,547557
Portugal,91605.6
Finland,303920
Nepal,143350
Zimbabwe,386850
Canada,8965590
Italy,297730
Tanzania,885800
"Korea, Dem. Rep.",97520
Malaysia,328550
Ecuador,248360
Chile,743532
New Zealand,263310
Iran,1628760
India,2973190
Denmark,40000
Argentina,2736690
"Congo, Dem. Rep.",2267050
Greece,128900
South Africa,1213090
Ghana,227540
Costa Rica,51060
Cameroon,472710
Philippines,298170
Mexico,1943950
Thailand,510890
Saudi Arabia,2149690
Puerto Rico,8870
Norway,365107.85
Netherlands,33670
Mali,1220190
Bangladesh,130170
Vietnam,310070
Israel,21640
Hungary,91260
Belgium,30280
Pakistan,770880
Namibia,823290
Niger,1266700
Benin,112760
Austria,82520
"Micronesia, Fed. Sts.",700
Taiwan,36197
Belize,22810
Egypt,995450
Czech Republic,77200
Poland,306170
Turkey,769630
Rwanda,24670
Uganda,200520
Kazakhstan,2699700
Ethiopia,1129300.39
"Congo, Rep.",341500
Slovenia,20136.4
Bolivia,1083300
Botswana,566730
Tunisia,155360
Malawi,94280
